date,open,high,low,close,volume,name
1-Dec-16,29.84,29.85,29.4,29.45,25996185,CSCO
30-Nov-16,29.76,29.95,29.68,29.82,26224892,CSCO
29-Nov-16,29.94,30.1,29.79,29.83,23553735,CSCO
28-Nov-16,30.08,30.09,29.82,29.92,21468918,CSCO
25-Nov-16,29.6,30.14,29.55,30.09,17678862,CSCO
23-Nov-16,29.83,29.95,29.56,29.71,24496763,CSCO
22-Nov-16,30.08,30.19,29.85,29.89,26769272,CSCO
21-Nov-16,30.3,30.33,30.01,30.05,27481710,CSCO
18-Nov-16,30.11,30.36,30,30.18,38748563,CSCO
17-Nov-16,29.91,30.05,29.61,30.05,75252307,CSCO
16-Nov-16,31.62,31.89,31.51,31.57,27097140,CSCO
15-Nov-16,31.27,31.85,31.27,31.7,24160155,CSCO
26-Jan-17,835.53,843.84,833,839.15,3586323,AMZN
25-Jan-17,825.79,837.42,825.29,836.52,4023078,AMZN
24-Jan-17,822,823.99,814.5,822.44,2971740,AMZN
23-Jan-17,806.8,818.5,805.08,817.88,2797474,AMZN
20-Jan-17,815.28,816.02,806.26,808.33,3376196,AMZN
19-Jan-17,810,813.51,807.32,809.04,2540784,AMZN
18-Jan-17,809.5,811.73,804.27,807.48,2354201,AMZN
17-Jan-17,815.7,816,803.44,809.72,3670529,AMZN
13-Jan-17,814.32,821.65,811.4,817.14,3791945,AMZN
12-Jan-17,800.31,814.13,799.5,813.64,4873922,AMZN
11-Jan-17,793.66,799.5,789.51,799.02,2992791,AMZN
10-Jan-17,796.6,798,789.54,795.9,2558369,AMZN
9-Jan-17,798,801.77,791.77,796.92,3446109,AMZN
6-Jan-17,782.36,799.44,778.48,795.99,5986234,AMZN
5-Jan-17,761.55,782.4,760.26,780.45,5830068,AMZN
4-Jan-17,758.39,759.68,754.2,757.18,2510526,AMZN
3-Jan-17,757.92,758.76,747.7,753.67,3521066,AMZN
30-Dec-16,766.47,767.4,748.28,749.87,4139449,AMZN
29-Dec-16,772.4,773.4,760.85,765.15,3158299,AMZN
28-Dec-16,776.25,780,770.5,772.13,3301025,AMZN
27-Dec-16,763.4,774.65,761.2,771.4,2638725,AMZN
23-Dec-16,764.55,766.5,757.99,760.59,1981616,AMZN
22-Dec-16,768.12,771.21,763.02,766.34,2543551,AMZN
21-Dec-16,770,771.22,765.7,770.6,2044629,AMZN
20-Dec-16,768.65,774.39,767.71,771.22,2703629,AMZN
19-Dec-16,758.89,770.5,756.16,766,3113240,AMZN
16-Dec-16,765,765.13,754,757.77,4848219,AMZN
15-Dec-16,766.28,769.1,760.31,761,3801927,AMZN
14-Dec-16,778.25,780.86,762.81,768.82,5454836,AMZN
13-Dec-16,764.96,782.46,762,774.34,5285288,AMZN
12-Dec-16,766.4,766.89,757.2,760.12,2963945,AMZN
9-Dec-16,770,770.25,765.34,768.66,2470923,AMZN
8-Dec-16,771.87,773.79,765.19,767.33,3189608,AMZN
7-Dec-16,764.55,770.42,755.82,770.42,3684906,AMZN
6-Dec-16,763.99,768.24,757.25,764.72,3794746,AMZN
5-Dec-16,745,761.49,742,759.36,4314723,AMZN
2-Dec-16,743.4,748.49,736.7,740.34,3561307,AMZN
1-Dec-16,752.41,753.37,738.03,743.65,4665993,AMZN
30-Nov-16,762,768.09,750.25,750.57,4625946,AMZN
29-Nov-16,768,769.89,761.32,762.52,3272344,AMZN
28-Nov-16,776.99,777,764.24,766.77,4438828,AMZN
25-Nov-16,786.5,786.75,777.9,780.37,1837068,AMZN
23-Nov-16,781.73,781.75,773.12,780.12,3540263,AMZN
22-Nov-16,788.17,792.4,781,785.33,5311320,AMZN
21-Nov-16,766,780.35,765.11,780,4614574,AMZN
18-Nov-16,761,767.74,757.64,760.16,4373408,AMZN
17-Nov-16,749.32,757.5,748,756.4,3651345,AMZN
16-Nov-16,739.88,749.87,735.61,746.49,3648791,AMZN
15-Nov-16,730,746.78,725.99,743.24,6755785,AMZN
